symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading,roce_2024,operating_margin_2024,revenue_growth_2024,roce_2014,operating_margin_2014,revenue_growth_2014,roce_2015,operating_margin_2015,revenue_growth_2015,roce_2016,operating_margin_2016,revenue_growth_2016,roce_2017,operating_margin_2017,revenue_growth_2017,roce_2018,operating_margin_2018,revenue_growth_2018,roce_2019,operating_margin_2019,revenue_growth_2019,roce_2020,operating_margin_2020,revenue_growth_2020,roce_2021,operating_margin_2021,revenue_growth_2021,roce_2022,operating_margin_2022,revenue_growth_2022,roce_2023,operating_margin_2023,revenue_growth_2023,roce_growth,roce_current_year,operating_margin_growth,operating_margin_current_year,revenue_growth_current_year,roce_growth_rank,operating_margin_growth_rank,revenue_growth_current_year_rank,roce_current_year_rank,operating_margin_current_year_rank,final_score,final_rank
HRMY,"Harmony Biosciences Holdings, Inc.",1.98,Healthcare,Biotechnology,0.77,34.67,0.0,221627,NASDAQ Global Market,NASDAQ,US,False,False,True,22.86,25.71,17.16,,,,,,,,,,,,,,,,-168.07,-2433.76,,1.26,2.3,2564.59,18.1,22.49,91.21,20.2,27.45,43.35,29.65,32.99,32.93,15.690555155092401,22.86,154.59787577088306,25.71,17.16,48.0,82.0,794.0,28.0,38.0,160.7,11.0
CIVI,"Civitas Resources, Inc.",5.01,Energy,Oil & Gas Exploration & Production,1.504,51.88,4.97,739276,New York Stock Exchange,NYSE,US,False,False,True,17.13,43.81,44.88,-2.63,-8.5,32.42,-75.95,-291.58,-47.61,-213.85,-70.09,-33.27,-17.42,-66.11,0.0,11.96,41.59,41.66,10.61,37.32,13.22,3.41,17.33,-30.37,7.5,45.29,326.71,30.13,53.99,307.41,25.95,91.34,-8.23,3.4456809369140426,17.13,9.747642571435593,43.81,44.88,179.0,215.0,419.0,33.0,22.0,161.6,12.0
SIGA,"SIGA Technologies, Inc.",0.52,Healthcare,Drug Manufacturers - Specialty & Generic,0.886,7.28,0.6,264817,NASDAQ Global Market,NASDAQ,US,False,False,True,60.43,60.19,24.17,-131.93,-6677.64,-43.11,-17.35,-378.59,160.39,-21.08,-206.94,83.32,-13.67,-153.63,-18.14,184.85,74.44,3788.3,0.47,1.87,-94.39,60.64,67.62,367.28,48.36,66.65,6.97,24.61,38.55,-17.13,41.76,59.76,26.31,3.3107114458277254,60.43,100.6274886022309,60.19,24.17,186.0,97.0,629.0,6.0,6.0,162.64999999999998,13.0
IOVA,"Iovance Biotherapeutics, Inc.",2.84,Healthcare,Biotechnology,0.594,9.32,0.0,2831023,NASDAQ Global Market,NASDAQ,US,False,False,True,-49.25,-473.22,7541.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.74,-38734.99,,19.489999999999995,-49.25,38261.77,-473.22,7541.46,36.0,7.0,15.0,403.0,373.0,167.85000000000002,14.0
MIRM,"Mirum Pharmaceuticals, Inc.",2.22,Healthcare,Biotechnology,1.162,46.22,0.0,206811,NASDAQ Global Market,NASDAQ,US,False,False,True,-16.93,-30.44,64.74,,,,,,,,,,,,,,,,,,,,,,-68.8,-906.12,,-45.53,-170.28,302.66,-19.51,-58.57,141.85,16.72971938660176,-16.93,199.49750647312544,-30.44,64.74,46.0,72.0,273.0,261.0,270.0,173.05,15.0
SERV,Serve Robotics Inc.,0.39,Industrials,Industrial - Machinery,,8.7,0.0,2494391,NASDAQ Global Select,NASDAQ,US,False,False,True,-55.95,-1875.93,709.15,,,,,,,,,,,,,,,,,,,,,,,,,-450.89,-19433.54,,603.83,-9987.04,92.49,27.117897643455155,-55.95,8761.909814383831,-1875.93,709.15,25.0,13.0,38.0,396.0,402.0,174.15,16.0
ACAD,ACADIA Pharmaceuticals Inc.,2.72,Healthcare,Biotechnology,0.379,16.32,0.0,529330,NASDAQ Global Select,NASDAQ,US,False,False,True,17.73,12.08,27.92,-30.11,-77691.67,-89.52,-82.31,-269855.74,-49.17,-52.61,-1574.14,28311.48,-87.16,-234.11,620.68,-51.48,-110.56,79.19,-34.81,-72.71,51.5,-42.35,-64.87,30.28,-28.22,-35.2,9.6,-48.38,-43.23,6.83,-14.83,-10.1,40.45,2.6273961872468865,17.73,3898.456001244013,12.08,27.92,220.0,21.0,581.0,46.0,98.0,175.14999999999998,17.0
AEVA,"Aeva Technologies, Inc.",0.25,Consumer Cyclical,Auto - Parts,1.369,4.6,0.0,290638,New York Stock Exchange,NYSE,US,False,False,True,-110.3,-1873.16,85.06,,,,,,,,,,,,,-37.81,-8445.93,,-80093.28,-1451.81,925.19,-95.49,-531.51,249.93,-22.41,-1124.51,91.31,-45.39,-3624.88,-54.75,-61.84,-3427.37,2.86,949.7772973465018,-110.3,59.73323316085834,-1873.16,85.06,7.0,114.0,204.0,343.0,343.0,192.35000000000002,18.0
SRPT,"Sarepta Therapeutics, Inc.",12.74,Healthcare,Biotechnology,0.803,133.34,0.0,744106,NASDAQ Global Select,NASDAQ,US,False,False,True,2.79,4.94,31.93,-51.82,-1371.21,-31.38,-104.11,-17572.55,-87.16,-76.5,-4920.31,332.64,-14.07,-111.03,2751.58,-23.4,-114.15,94.74,-33.52,-137.15,26.51,-21.96,-104.46,41.82,-16.69,-64.07,29.96,-21.37,-57.47,32.93,-10.26,-21.54,33.26,4.362472178263342,2.79,227.74870363677252,4.94,31.93,155.0,68.0,535.0,162.0,142.0,193.4,19.0
CPRX,"Catalyst Pharmaceuticals, Inc.",2.63,Healthcare,Biotechnology,0.755,22.07,0.0,553535,NASDAQ Capital Market,NASDAQ,US,False,False,True,26.1,37.78,15.64,,,,,,,,,,,,,-69.29,-7059.03,,36.05,31.11,20361.27,24.35,34.69,16.39,24.86,37.2,18.27,32.02,47.54,52.1,22.03,21.8,85.9,2.9268787682193835,26.1,285.12727989643264,37.78,15.64,202.0,64.0,845.0,21.0,12.0,196.65,20.0
RIGL,"Rigel Pharmaceuticals, Inc.",0.49,Healthcare,Biotechnology,0.953,27.61,0.0,96906,NASDAQ Global Select,NASDAQ,US,False,False,True,11.17,6.03,34.73,-65.13,-1106.05,15.38,-52.83,-179.07,250.24,-125.56,-342.15,-29.46,-79.0,-1775.56,-78.0,-65.26,-163.3,892.62,-77.32,-116.53,33.2,-41.67,-26.67,83.21,-8.65,-6.01,37.39,-78.52,-45.1,-19.43,-32.04,-17.53,-2.79,2.687753788925172,11.17,31.554379069227203,6.03,34.73,216.0,137.0,496.0,84.0,133.0,199.20000000000002,21.0
VICR,Vicor Corporation,2.4,Technology,"Hardware, Equipment & Parts",1.487,53.21,0.0,105537,NASDAQ Global Select,NASDAQ,US,False,False,True,1549.31,4.78,104019.4,-11.15,-6.54,13.34,-0.19,-0.12,-2.45,-4.79,-3.15,-9.04,-0.99,-0.6,13.76,17.32,11.01,27.82,1.65,1.33,-9.7,1.77,2.13,12.78,10.25,12.22,21.17,5.76,6.82,11.05,9.02,12.68,1.5,18.578977521947643,1549.31,0.7420327910306354,4.78,104019.4,42.0,753.0,4.0,1.0,209.0,203.7,22.0
NBIX,"Neurocrine Biosciences, Inc.",12.83,Healthcare,Drug Manufacturers - Specialty & Generic,0.353,126.75,0.0,403267,NASDAQ Global Select,NASDAQ,US,False,False,True,18.91,26.19,18.85,,,,-20.98,-476.51,,-44.03,-982.48,-24.12,-17.21,-81.27,977.51,4.08,8.18,179.19,29.59,27.81,74.65,20.6,30.49,32.71,10.78,17.37,8.38,13.6,16.73,31.34,9.66,13.3,26.76,2.8600837900033826,18.91,31.66180447865456,26.19,18.85,207.0,136.0,743.0,42.0,36.0,206.0,23.0
PLTR,Palantir Technologies Inc.,152.81,Technology,Software - Infrastructure,2.697,67.08,0.0,29759044,New York Stock Exchange,NYSE,US,False,False,True,7.57,13.8,18.94,,,,,,,,,,,,,-69.34,-104.71,,-66.61,-77.63,24.71,-56.25,-107.41,47.15,-15.89,-26.66,41.11,-5.61,-8.46,23.61,3.18,5.39,16.75,13.836379746539585,7.57,18.834472436655403,13.8,18.94,55.0,164.0,741.0,151.0,101.0,208.09999999999997,24.0
SCPH,scPharmaceuticals Inc.,0.18,Healthcare,Biotechnology,0.14,3.62,0.0,202546,NASDAQ Global Select,NASDAQ,US,False,False,True,-58.0,-210.35,122.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.1,-407.53,,10.099999999999994,-58.0,197.17999999999998,-210.35,122.75,83.0,73.0,132.0,431.0,343.0,209.95000000000005,25.0
GRND,Grindr Inc.,2.67,Technology,Software - Application,0.331,15.09,0.0,380816,New York Stock Exchange,NYSE,US,False,False,True,22.82,28.11,22.88,,,,,,,,,,,,,,,,,,,-0.03,-0.12,-3.9,5.65,16.26,39.6,2.72,5.25,33.72,14.44,21.35,33.16,4.586965875897821,22.82,4.366475633344107,28.11,22.88,150.0,310.0,652.0,33.0,31.0,210.1,26.0
KRP,"Kimbell Royalty Partners, LP",1.78,Energy,Oil & Gas Exploration & Production,1.127,16.18,1.75,281381,New York Stock Exchange,NYSE,US,False,False,True,9.61,34.44,22.21,-12.39,-98.26,43.9,-119.61,-660.86,-35.11,-29.78,-159.92,-23.02,0.7,6.68,750.22,-6.43,-71.97,118.25,-4.43,-29.91,64.3,-7.97,-47.7,-15.48,8.6,27.64,91.97,12.94,48.03,59.77,8.29,40.22,-4.16,2.6176316847240466,9.61,14.464871499875105,34.44,22.21,222.0,180.0,667.0,78.0,33.0,213.75,27.0
FUBO,fuboTV Inc.,0.54,Communication Services,Broadcasting,1.768,1.61,0.0,9322121,New York Stock Exchange,NYSE,US,False,False,True,-38.23,-14.2,16.19,-9464.13,-346.69,-33.95,56.71,-315.94,21.97,11.4,-781.25,-78.43,36.92,-2790.24,-80.29,,,,-51.26,-2653.38,,-75.93,-220.39,4998.24,-34.81,-56.3,193.16,-49.09,-40.83,58.02,-40.45,-21.15,35.64,111.18790885422689,-38.23,10.82247912037006,-14.2,16.19,13.0,203.0,833.0,119.0,108.0,214.2,28.0
ALAB,"Astera Labs, Inc. Common Stock",16.38,Technology,Semiconductors,2.74,103.25,0.0,1907670,Nasdaq,NASDAQ,US,False,False,True,-11.98,-35.06,164.01,,,,,,,,,,,,,,,,,,,,,,,,,-35.07,-75.36,,-18.3,-25.47,44.97,10.807139570038698,-11.98,11.673555473580443,-35.06,164.01,73.0,196.0,100.0,340.0,379.0,216.25,29.0
HROW,"Harrow Health, Inc.",1.49,Healthcare,Drug Manufacturers - Specialty & Generic,0.763,41.91,0.0,187169,NASDAQ Global Market,NASDAQ,US,False,False,True,-3.34,-5.07,29.91,-116.87,-611.16,16502.46,-169.26,-152.55,485.21,-91.58,-79.64,105.25,-67.04,-45.43,34.26,-13.89,-12.61,54.52,-1.07,-0.98,23.67,-3.5,-3.34,-4.48,-0.32,-0.39,48.3,-1.26,-1.97,22.24,0.16,0.33,46.95,10.651567464778848,-3.34,15.738233825893403,-5.07,29.91,77.0,173.0,553.0,203.0,209.0,219.20000000000002,30.0
YOU,"Clear Secure, Inc.",2.43,Technology,Software - Application,1.588,25.88,0.5,850085,New York Stock Exchange,NYSE,US,False,False,True,34.83,14.26,19.82,,,,,,,,,,,,,,,,-36.18,-29.21,,-21.97,-8.2,20.03,-20.97,-45.26,10.03,-20.16,-29.5,72.25,4.09,3.28,40.27,10.236282873831346,34.83,3.052604895182841,14.26,19.82,81.0,378.0,713.0,11.0,94.0,223.8,31.0
SRTS,"Sensus Healthcare, Inc.",0.14,Healthcare,Medical - Devices,1.045,8.51,0.0,107065,NASDAQ Capital Market,NASDAQ,US,False,False,True,21.85,28.91,69.26,-87.85,-63.34,-44.55,-3.71,-2.15,76.81,-2.37,-2.45,44.17,-31.63,-18.06,39.0,-7.37,-7.59,28.36,-6.46,-7.22,3.16,-35.56,-85.98,-64.87,15.68,15.24,182.37,30.24,33.3,64.68,-0.77,-1.57,-45.2,2.943862385031255,21.85,1.1182035297910276,28.91,69.26,201.0,633.0,256.0,34.0,29.0,227.85000000000005,32.0
IBTA,"Ibotta, Inc.",2.24,Technology,Software - Application,,73.14,0.0,315857,New York Stock Exchange,NYSE,US,False,False,True,10.65,11.18,15.16,,,,,,,,,,,,,,,,,,,,,,,,,-78.76,-19.13,,46.04,17.5,51.89,21.596783367110035,10.65,9.078551927746854,11.18,15.16,32.0,220.0,862.0,106.0,129.0,228.3,33.0
RXST,"RxSight, Inc.",1.89,Healthcare,Medical - Devices,1.191,46.88,0.0,249530,NASDAQ Global Market,NASDAQ,US,False,False,True,-13.58,-28.24,55.36,,,,,,,,,,,,,,,,-45.18,-2055.78,,-39.75,-241.21,554.98,-29.06,-233.64,53.92,-47.63,-129.21,116.9,-30.98,-56.23,81.77,2.341785017198004,-13.58,165.48820651002268,-28.24,55.36,238.0,80.0,335.0,246.0,267.0,228.35,34.0
INSP,"Inspire Medical Systems, Inc.",5.78,Healthcare,Medical - Devices,1.358,192.76,0.0,261447,New York Stock Exchange,NYSE,US,False,False,True,1.87,1.79,20.93,,,,,,,-296.14,-105.03,105.03,-89.18,-56.02,73.9,-10.79,-40.28,77.1,-21.23,-42.53,62.18,-21.58,-48.72,40.62,-15.7,-17.07,102.28,-9.45,-11.67,74.75,-6.73,-6.45,53.19,11.600798542338937,1.87,9.187455708573081,1.79,20.93,67.0,219.0,688.0,169.0,166.0,230.75,35.0
RDVT,"Red Violet, Inc.",0.51,Technology,Software - Application,1.456,36.8,0.0,36312,NASDAQ Capital Market,NASDAQ,US,False,False,True,7.13,9.41,17.41,,,,-75.69,-225.28,,-84.42,-280.17,14.54,-121.22,-250.64,87.09,-20.65,-45.95,90.04,-25.17,-37.02,85.78,-14.55,-19.75,14.2,-4.92,-7.93,27.28,0.5,0.68,21.12,2.84,4.16,12.91,8.631660699968215,7.13,24.625855976038707,9.41,17.41,90.0,151.0,789.0,160.0,139.0,230.85000000000002,36.0
SEZL,Sezzle Inc.,2.38,Financial Services,Financial - Credit Services,16.098,424.03,0.0,52619,NASDAQ Capital Market,NASDAQ,US,False,False,True,37.85,26.62,39.19,,,,,,,,,,-79.82,-2773.03,,-41.69,-247.1,5457.65,-22.97,-71.11,868.17,-26.41,-47.5,272.05,-81.79,-59.81,95.31,-41.31,-24.14,9.37,87.48,13.93,26.91,7.648779399219462,37.85,101.45458784150948,26.62,39.19,98.0,96.0,471.0,13.0,573.0,231.55,37.0
EXEL,"Exelixis, Inc.",10.41,Healthcare,Biotechnology,0.511,36.46,0.0,1682597,NASDAQ Global Select,NASDAQ,US,False,False,True,20.41,25.16,13.74,-143.79,-893.86,-19.87,,,,-8.6,-14.69,,30.72,36.67,136.34,33.33,51.4,88.7,,,,21.2,38.18,,12.58,19.98,48.28,7.33,12.51,12.27,6.71,9.34,13.6,3.0896953814089736,20.41,19.449130950243084,25.16,13.74,196.0,163.0,909.0,37.0,41.0,233.54999999999998,38.0
NN,NextNav Inc.,2.24,Communication Services,Internet Content & Information,0.949,17.39,0.0,1005115,NASDAQ Capital Market,NASDAQ,US,False,False,True,-43.26,-1314.99,28.51,,,,,,,,,,,,,,,,-58.16,-10537.2,,-72.47,-5179.09,246.95,-32.6,-5560.81,34.09,-57.04,-1669.28,414.55,-41.7,-1644.98,-1.63,1.1395956561951999,-43.26,1416.4651343625778,-1314.99,28.51,380.0,33.0,573.0,120.0,122.0,235.95000000000002,39.0
CRWD,"CrowdStrike Holdings, Inc.",84.82,Technology,Software - Infrastructure,1.102,345.97,0.0,2413693,NASDAQ Global Select,NASDAQ,US,False,False,True,-0.08,-0.11,22.41,,,,,,,,,,-3911.71,-171.69,,-253.68,-110.68,125.14,-90.16,-54.78,110.37,-16.02,-30.34,92.7,-4.95,-10.58,81.64,-6.45,-9.82,66.0,-6.52,-8.48,54.4,130.54459204476962,-0.08,17.5394451630563,-0.11,22.41,12.0,166.0,663.0,256.0,253.0,237.45000000000002,40.0
WGS,GeneDx Holdings Corp.,2.15,Healthcare,Medical - Healthcare Information Services,2.18,78.39,0.0,185783,NASDAQ Global Market,NASDAQ,US,False,False,True,-16.47,-20.43,31.92,,,,,,,,,,,,,,,,,,,-135.8,-134.95,-8.59,-98.53,-210.25,18.33,-192.6,-284.48,10.6,-39.45,-80.79,-13.69,12.911020018805376,-16.47,10.604955771233884,-20.43,31.92,58.0,205.0,536.0,258.0,251.0,237.7,41.0
KRYS,"Krystal Biotech, Inc.",5.68,Healthcare,Biotechnology,0.82,197.42,0.0,109997,NASDAQ Global Market,NASDAQ,US,False,False,True,4.48,16.54,376.38,,,,,,,,,,,,,-10.5,-1160.27,,,,,,,,,,,,,,-13.97,-216.43,,0.3396222926165957,4.48,193.56200425107264,16.54,376.38,686.0,74.0,56.0,149.0,70.0,238.50000000000003,42.0
HALO,"Halozyme Therapeutics, Inc.",6.13,Healthcare,Biotechnology,1.29,48.2,0.0,718875,NASDAQ Global Select,NASDAQ,US,False,False,True,23.74,50.35,14.24,-44.5,-83.68,37.47,-23.0,-20.33,79.28,-40.21,-56.72,8.61,20.84,25.58,115.84,-23.83,-45.65,-52.04,-14.08,-34.5,29.06,90.99,53.91,36.53,27.95,62.24,65.67,15.64,40.53,48.91,20.83,40.71,25.62,2.892439738362687,23.74,8.001809981585758,50.35,14.24,205.0,236.0,894.0,25.0,7.0,238.95000000000002,43.0
DASH,"DoorDash, Inc.",74.97,Communication Services,Internet Content & Information,1.671,180.48,0.0,1564332,NASDAQ Global Select,NASDAQ,US,False,False,True,-2.96,-2.38,17.57,,,,,,,,,,,,,-36.65,-72.16,,-45.63,-69.6,204.12,-8.81,-15.11,226.1,-8.95,-9.25,69.37,-14.24,-15.68,34.68,-7.79,-6.71,31.17,3.9540734374252575,-2.96,8.753590915613538,-2.38,17.57,164.0,225.0,787.0,94.0,89.0,240.65000000000003,44.0
CORT,Corcept Therapeutics Incorporated,6.04,Healthcare,Biotechnology,0.455,57.68,0.0,276406,NASDAQ Capital Market,NASDAQ,US,False,False,True,21.79,22.81,30.3,-131.05,-104.02,156.36,-11.08,-6.85,89.39,24.6,12.52,61.72,27.68,33.2,95.77,32.44,35.62,57.82,30.07,36.41,21.99,22.85,36.23,15.46,29.86,34.01,3.42,22.44,28.03,9.8,20.75,22.24,20.04,2.4788685185630754,21.79,2.491116564531604,22.81,30.3,229.0,424.0,551.0,35.0,48.0,241.29999999999998,45.0
DEC,Diversified Energy Company PLC,0.83,Energy,Energy,0.147,16.36,1.16,144601,New York Stock Exchange,NYSE,US,False,False,True,6.08,13.41,64.99,,,,,,,-1.74,-6.0,,2.52,14.36,180.43,6.63,38.65,530.7,5.69,23.69,73.43,0.58,2.77,-9.24,16.81,46.09,127.32,41.19,59.31,90.29,39.67,129.54,-53.93,1.436381769819463,6.08,2.3928743900990144,13.41,64.99,318.0,431.0,271.0,108.0,78.0,243.54999999999998,46.0
NVDA,NVIDIA Corporation,3385.74,Technology,Semiconductors,1.657,138.25,0.04,141108317,NASDAQ Global Select,NASDAQ,US,False,False,True,89.31,62.71,85.92,7.87,12.01,-3.5,12.04,16.21,13.35,15.15,14.91,7.02,24.11,27.99,37.92,31.82,33.05,40.58,31.8,32.47,20.61,18.32,26.07,-6.81,18.23,27.18,52.73,25.2,37.31,61.4,12.2,15.66,0.22,1.1549427008340647,89.31,1.1945363491604941,62.71,85.92,375.0,618.0,202.0,3.0,3.0,248.85000000000002,47.0
HROWM,"Harrow Health, Inc. 11.875% Senior Notes due 2027",1.51,Healthcare,Medical - Pharmaceuticals,0.1708245,26.24,2.96876,2922,NASDAQ Global Market,NASDAQ,US,False,False,True,-3.22,-5.29,18.4,-116.87,-611.27,16500.0,-169.26,-152.55,485.3,-89.83,-78.12,105.25,-67.04,-45.43,34.26,-13.89,-12.61,54.52,-0.59,-0.54,23.67,0.19,0.18,-4.48,1.99,2.43,48.3,1.31,2.05,22.24,0.16,0.33,46.95,10.693886190351055,-3.22,15.84062842784313,-5.29,18.4,76.0,172.0,758.0,202.0,211.0,249.7,48.0
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",3.72,Real Estate,REIT - Specialty,1.965,31.36,1.66,424093,New York Stock Exchange,NYSE,US,False,False,True,0.87,70.47,25614.09,-1.85,-65.41,93.83,-1.6,-74.04,10.88,-1.58,-64.59,33.96,-1.37,-48.84,48.31,-1.85,-47.12,33.19,3.84,63.36,70.3,2.34,55.81,0.83,3.56,65.97,52.7,3.66,105.77,-28.65,3.51,70.1,105.75,0.3309086185735041,0.87,15.448334062933924,70.47,25614.09,693.0,175.0,11.0,182.0,23.0,250.9,49.0
TALO,Talos Energy Inc.,2.02,Energy,Oil & Gas Exploration & Production,1.931,11.25,0.0,505905,New York Stock Exchange,NYSE,US,False,False,True,3.16,9.66,28.5,,,,-62.17,-251.09,,-7.9,-32.29,-19.34,4.95,11.04,64.25,12.06,28.4,117.22,9.6,23.47,1.88,-6.3,-26.11,-36.58,17.29,30.1,116.09,30.03,44.56,32.74,4.95,14.39,-11.75,1.7419213491160626,3.16,5.972838041357668,9.66,28.5,285.0,268.0,574.0,124.0,91.0,253.95,50.0
HRTX,"Heron Therapeutics, Inc.",0.18,Healthcare,Biotechnology,1.809,1.19,0.0,780021,NASDAQ Capital Market,NASDAQ,US,False,False,True,-19.17,-17.61,15.86,,,,,,,-594.51,-13363.17,,-148.36,-632.36,2305.55,-49.69,-237.42,151.81,-50.64,-144.34,88.41,-90.88,-257.41,-39.28,-92.83,-252.27,-2.59,-103.6,-162.21,24.7,-77.45,-87.07,17.99,14.850170381097401,-19.17,301.67995150525763,-17.61,15.86,51.0,63.0,836.0,273.0,245.0,254.35,51.0
ML,MoneyLion Inc.,1.02,Technology,Software - Application,2.67,91.7,0.0,175269,New York Stock Exchange,NYSE,US,False,False,True,4.1,3.91,18.15,,,,,,,,,,,,,,,,-88.21,-118.73,,-23.76,-30.71,31.51,-26.2,-65.54,115.48,-22.11,-34.92,99.14,-1.16,-1.26,24.27,11.445949092081516,4.1,15.429425931527286,3.91,18.15,70.0,177.0,765.0,213.0,221.0,254.45,52.0
