,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,roce_rank,ticker,coef,r_squared,std,coef_w,coef_rank,std_rank,average_score,final_rank
36,585,AEHR,Return on Capital Employed,0.0609,-0.7765,-1.1498,-0.2151,0.0431,-0.3138,-0.1649,-0.1785,0.1862,0.1634,0.1061,229.0,AEHR,0.07461575757929163,0.27908275625173196,0.4056869384143394,0.02082397128503977,84.0,1535.0,115.05,142.0
37,601,AEIS,Return on Capital Employed,0.0698,-0.3713,0.2908,0.3188,0.2439,0.0652,0.1209,0.1062,0.1543,0.0689,,640.0,AEIS,0.011973939394502925,0.03550304310340291,0.18252873335450504,0.00042511128644057145,467.0,1323.0,215.76666666666665,560.0
38,617,AEO,Return on Capital Employed,0.122,0.2845,0.2601,0.2157,0.2536,0.0952,-0.1039,0.2016,0.0971,0.0805,,556.5,AEO,-0.018757575758459138,0.23446764395737008,0.11126593548791112,-0.004398044594437793,1049.0,1096.0,302.7666666666667,960.0
39,633,AESI,Return on Capital Employed,,,,,,,-0.0026,0.094,0.3542,0.1236,,354.0,AESI,,,0.13093910798535327,,,1177.0,,
40,649,AEYE,Return on Capital Employed,-1.6447,-1.5829,-25.5711,-5.136,-28100.2969,-3.241,-0.7591,-0.7845,-0.7803,-0.2378,,1521.5,AEYE,171.22666606871115,0.0034046195760628617,8428.767588794131,0.5829616592415126,8.0,1847.0,245.96666666666667,717.0
41,665,AFCG,Return on Capital Employed,,,,,,,0.0984,0.0579,0.0964,0.0765,,589.0,AFCG,,,0.01648499317561278,,,224.0,,
42,681,AFRI,Return on Capital Employed,,,,,,0.0439,0.0773,0.0257,-0.1263,0.022,,1055.5,AFRI,,,0.07019362934056053,,,828.0,,
43,697,AGEN,Return on Capital Employed,-0.553,-0.4063,-0.9702,-1.3545,-2.1565,-2.1164,-1.4394,0.1197,-0.7515,-2.7494,,1833.0,AGEN,-0.10272181818660109,0.11980104417696757,0.8524312655575229,-0.012306181078511428,1133.0,1661.0,474.0666666666668,1226.0
44,713,AGIO,Return on Capital Employed,-0.1247,-0.3192,-0.38,-0.6064,-0.3878,-0.5157,-0.4081,-0.2709,-0.1862,-0.3977,,1650.0,AGIO,-0.0031121212122580035,0.004318230695508296,0.13602870322104818,-1.3438857346915e-05,744.0,1196.0,361.20000000000005,1114.0
45,729,AGL,Return on Capital Employed,,,,,,-0.5198,-0.302,-0.3241,-0.0948,-0.2718,,1547.0,AGL,,,0.13547537045529717,,,1194.0,,
46,745,AGM,Return on Capital Employed,0.0344,0.0388,0.0415,0.0392,0.047,0.0528,0.0186,0.015,0.2403,0.0622,,681.0,AGM,0.008922424242841976,0.171295022276567,0.06192093022557075,0.0015283668594385977,338.0,748.0,167.46666666666667,339.0
47,761,AGS,Return on Capital Employed,-0.039,-0.0484,-0.0406,0.013,0.0123,0.0273,-0.0707,0.0289,0.0485,0.0935,,482.0,AGS,0.01201333333390139,0.5078619316553517,0.04841920693278649,0.006101114672574785,190.0,620.0,114.03333333333335,139.0
48,777,AGX,Return on Capital Employed,0.4016,0.3649,0.3318,0.3959,0.3009,0.1096,-0.1391,0.0621,0.1825,0.1323,0.1523,323.5,AGX,-0.04148666666862114,0.5093058813693832,0.16697296936929643,-0.021129403332739903,1175.0,1288.0,312.1666666666667,991.0
49,793,AGYS,Return on Capital Employed,-0.0955,-0.0285,-0.0948,-0.1029,-0.1228,-0.3977,-0.1644,0.0457,0.0783,0.0792,,571.0,AGYS,0.015533333334073416,0.11075649733591197,0.13406241233097366,0.001720417592033135,320.0,1192.0,175.36666666666665,365.0
50,809,AHCO,Return on Capital Employed,,,,10.2076,0.0279,0.1474,-0.021,0.0598,0.0427,-0.1459,,1436.0,AHCO,,,3.5664012280145476,,,1762.0,,
51,825,AHH,Return on Capital Employed,0.0435,0.0707,0.0654,0.0401,0.0303,0.0364,0.0326,0.0301,0.0543,0.0303,,990.0,AHH,-0.002584848484974371,0.2695788559010357,0.014299444045136861,-0.0006968204972569163,887.0,196.0,271.4166666666667,849.0
52,841,AHR,Return on Capital Employed,,,0.0844,-0.1434,0.0119,-0.021,0.0545,0.0717,-0.2977,0.5829,,18.0,AHR,,,0.23718308032772908,,,1398.0,,
53,857,AI,Return on Capital Employed,,,,,,-0.2181,-0.3079,-0.0513,-0.1856,-0.3004,-0.298,1578.0,AI,,,0.09334650716550674,,,988.0,,
54,873,AILE,Return on Capital Employed,,,,,,,561.5363,0.0347,0.0654,-0.0263,,1275.0,AILE,,,243.14170060127879,,,1833.0,,
55,889,AIN,Return on Capital Employed,0.0922,0.0696,0.0862,0.0604,0.1084,0.1527,0.1133,0.1339,0.1015,0.1232,,357.5,AIN,0.005720000000260446,0.3704404935934843,0.026993784469762663,0.00211891962345121,305.0,351.0,109.21666666666665,129.0
56,905,AIOT,Return on Capital Employed,,,-0.2299,-0.0847,-0.1297,-0.0533,-0.0191,-0.0427,-0.0339,-0.0219,,1264.0,AIOT,,,0.06726730260683864,,,796.0,,
57,921,AIP,Return on Capital Employed,,,,,,0.9562,-0.1505,-0.2791,-0.3818,-0.6202,,1743.0,AIP,,,0.5477378475146665,,,1588.0,,
58,937,AIR,Return on Capital Employed,0.0794,0.007,0.0648,0.0735,0.0227,0.0189,0.0234,0.049,0.0879,0.0896,0.0432,504.5,AIR,0.0025757575758779284,0.06161034071096583,0.029806100046802498,0.00015869330183869058,540.0,392.0,169.05,342.0
59,953,AIRS,Return on Capital Employed,,,,,,0.0041,0.059,0.0856,-0.0255,0.0491,,805.0,AIRS,,,0.03987172431686395,,,525.0,,
60,969,AIT,Return on Capital Employed,0.1602,0.1636,0.0847,0.1631,0.1235,0.1233,0.0494,0.1126,0.1826,0.2154,0.2116,139.0,AIT,0.002593939394050891,0.02579448198601597,0.04638989545148814,6.690932297266289e-05,579.0,598.0,149.95000000000002,261.0
61,985,AIV,Return on Capital Employed,0.0413,0.0695,-2.4427,0.1346,-0.1373,0.158,0.0065,0.0147,0.0804,-0.0706,,1348.0,AIV,0.06828606060931984,0.06886056763678361,0.7474355225703418,0.004702216895237574,229.0,1643.0,258.93333333333334,788.0
62,1001,AKA,Return on Capital Employed,,,,,,0.0211,0.1452,0.0073,-0.412,-0.3111,,1586.0,AKA,,,0.21340979358970386,,,1370.0,,
63,1017,AKBA,Return on Capital Employed,-0.3557,-0.4632,-0.7349,-0.3625,-0.2656,-0.5059,-0.8585,-1.1253,-0.3385,-0.0297,,1280.5,AKBA,0.0007672727272994189,5.2914355310518246e-05,0.30296327104122706,4.0599741712391826e-08,678.0,1464.0,325.55,1034.5
64,1033,AKR,Return on Capital Employed,0.0423,0.0356,0.0287,0.0331,0.0268,0.0252,0.0017,0.0238,0.0038,0.0287,,1010.5,AKR,-0.002820000000133676,0.4368923892624331,0.01225430944606835,-0.0012320365377784634,928.0,169.0,279.6333333333333,883.0
65,1049,AKRO,Return on Capital Employed,,,,-21.8874,-2.0026,-0.3397,-0.3044,-0.5913,-0.3298,-0.2649,,1542.0,AKRO,,,7.457517331812627,,,1794.0,,
66,1065,AKYA,Return on Capital Employed,,,,,,-0.1857,-0.2304,-0.2448,-0.4746,-0.376,,1634.0,AKYA,,,0.10694895978923778,,,1069.0,,
67,1081,ALCO,Return on Capital Employed,0.0679,0.0802,0.0509,-0.0099,0.0547,0.1488,0.0924,0.1227,0.0429,0.0183,,1092.5,ALCO,0.0003181818181920591,0.00041991415706887913,0.04459868720040984,1.3360904998076186e-07,672.0,581.0,261.5,800.0
68,1097,ALDX,Return on Capital Employed,-0.6301,-0.4594,-0.8095,-0.539,-0.4363,-0.9828,-0.5093,-0.2531,-0.3636,-0.2814,,1558.0,ALDX,0.037172727274500196,0.2407692541439861,0.21759598916340347,0.008950049820379221,152.0,1375.0,252.41666666666666,754.0
69,1113,ALE,Return on Capital Employed,0.0548,0.0499,0.0544,0.0539,0.0476,0.049,0.0356,0.0359,0.0286,0.0509,,785.0,ALE,-0.002001212121306926,0.4268272192838519,0.008798204362254834,-0.0008541718049345738,900.0,112.0,249.1,736.0
70,1129,ALEC,Return on Capital Employed,,,-0.2873,-0.1557,-0.1599,-0.2701,-0.4284,-0.0474,-0.1972,-0.282,,1560.0,ALEC,,,0.10711731886114402,,,1072.0,,
71,1145,ALEX,Return on Capital Employed,0.0415,0.0354,0.0094,0.0274,-0.0084,-0.003,0.0186,0.0369,0.053,0.0413,,876.5,ALEX,0.0014418181818863318,0.04560181401019614,0.0193930631928017,6.574952456689965e-05,580.0,254.0,206.68333333333337,510.0
72,1161,ALG,Return on Capital Employed,0.1197,0.1419,0.1437,0.162,0.1611,0.0906,0.0999,0.1185,0.133,0.1683,,218.0,ALG,-4.6666666681177207e-05,2.8323665189788905e-05,0.02518599015325782,-1.3217710426011405e-09,692.0,327.0,165.01666666666668,323.0
73,1177,ALGT,Return on Capital Employed,0.1811,0.3875,0.2931,0.1439,0.1275,0.1558,75.313,0.0796,0.0297,0.0839,,533.0,ALGT,1.3399315152147748,0.0291426805507794,22.544719085029644,0.039049196107825986,46.0,1815.0,152.48333333333335,272.0
74,1193,ALHC,Return on Capital Employed,,,,,,-0.4722,-0.0324,-0.3836,-0.3244,-0.3856,,1643.0,ALHC,,,0.15115927493872153,,,1243.0,,
75,1209,ALIT,Return on Capital Employed,,,,0.0129,0.046,0.052,0.0271,0.0158,0.0091,-0.0254,,1273.0,ALIT,,,0.023897211860254272,,,306.0,,
76,1225,ALKS,Return on Capital Employed,-0.0003,-0.1301,-0.1317,-0.0872,-0.0751,-0.1297,-0.0581,-0.0181,-0.1052,0.1735,,208.5,ALKS,0.014176969697638505,0.21360869839907037,0.08810507363370171,0.0030283240443556235,272.0,956.0,118.5166666666667,155.0
77,1241,ALKT,Return on Capital Employed,,,,,,-1.2179,-0.2224,-0.1127,-0.1234,-0.148,,1440.0,ALKT,,,0.42822609635565184,,,1549.0,,
78,1257,ALLO,Return on Capital Employed,,,,13.0,-0.2798,-0.2701,-0.2207,-0.2595,-0.4586,-0.5184,,1706.0,ALLO,,,4.667255787605686,,,1775.0,,
79,1273,ALMS,Return on Capital Employed,,,,,,,,,-1.1805,-2.2547,,1830.0,ALMS,,,0.5371,,,1585.0,,
80,1289,ALRM,Return on Capital Employed,0.2089,0.0896,0.0658,0.1053,0.04,0.1288,0.1309,0.0572,0.0519,0.0806,,555.0,ALRM,-0.007854545454925081,0.22222993148275627,0.047857141577825134,-0.0017455150982761956,959.0,615.0,262.06666666666666,804.0
81,1305,ALRS,Return on Capital Employed,0.0222,0.0156,0.0399,0.0194,0.0512,0.1213,0.13,0.1269,0.02,0.0399,,891.0,ALRS,0.006224242424535403,0.1547859812669471,0.04544097710217069,0.0009634254713250742,385.0,589.0,189.13333333333335,424.0
82,1321,ALT,Return on Capital Employed,-0.4992,-0.188,8459.3373,-0.8769,-0.8965,-0.4104,-0.2336,-0.484,-0.4471,-0.4439,,1676.0,ALT,-256.3515545576283,0.08417043233162302,2537.9505194911817,-21.57722117599922,1236.0,1843.0,486.34999999999997,1233.0
83,1337,ALTG,Return on Capital Employed,,,-0.0,0.0,0.0397,0.1437,-0.0218,0.0121,0.0517,0.0636,,674.5,ALTG,,,0.04889421617124053,,,626.0,,
84,1353,ALTI,Return on Capital Employed,,,,,,-0.0319,-0.0404,0.048,-0.6332,-0.1324,,1419.0,ALTI,,,0.24439204897050149,,,1407.0,,
85,1369,ALTM,Return on Capital Employed,,,0.1637,0.1685,0.2839,0.0784,-0.0254,0.0226,0.1597,0.1204,,366.0,ALTM,,,0.09016822819042193,,,962.0,,
86,1385,ALTR,Return on Capital Employed,,0.1997,0.1721,-0.3788,0.0766,0.0165,0.0217,0.0171,-0.0245,0.018,,1098.5,ALTR,,,0.15608319797902023,,,1267.0,,
87,1401,ALX,Return on Capital Employed,0.072,0.0718,0.0772,0.0706,0.0534,0.0803,0.0484,0.1262,0.064,0.1815,,192.0,ALX,0.00688606060638676,0.27128365206414473,0.03797397003211542,0.0018680756696356391,316.0,492.0,101.73333333333333,101.0
88,1417,ALXO,Return on Capital Employed,,,,,-1.473,-3.371,-0.104,-0.2288,-0.4594,-0.7709,,1785.0,ALXO,,,1.122500844468873,,,1689.0,,
89,1433,AMAL,Return on Capital Employed,,,0.0188,0.025,0.0481,0.0453,0.0581,0.0595,0.0686,0.0811,,552.0,AMAL,,,0.019655275214303155,,,260.0,,
90,1449,AMBA,Return on Capital Employed,0.1767,0.2179,0.2355,0.133,0.0521,-0.0808,-0.0879,-0.1148,-0.0768,-0.145,-0.2585,1435.0,AMBA,-0.04548666666881899,0.856387321358953,0.14118090841186706,-0.03895420462605746,1204.0,1212.0,424.8333333333333,1185.0
91,1465,AMBC,Return on Capital Employed,0.0247,0.0265,0.0102,-0.0071,0.0354,0.0065,-0.0165,0.0154,0.0871,0.0127,,1148.0,AMBC,0.0017278787879595064,0.034111487003855356,0.02687137696509057,5.8940514819718046e-05,587.0,347.0,239.76666666666665,687.0
92,1481,AMBP,Return on Capital Employed,,,,,-0.0098,0.0507,0.088,-0.0178,0.0845,0.0292,,1001.0,AMBP,,,0.041428157359726034,,,543.0,,
93,1497,AMC,Return on Capital Employed,0.0529,0.0613,0.0374,-0.007,0.0571,0.0144,-0.4797,-0.091,-0.0796,0.0024,,1196.0,AMC,-0.02147636363737674,0.16017670593964828,0.15413030720789472,-0.0034400131829970494,1027.0,1254.0,370.5833333333333,1137.0
94,1513,AMCX,Return on Capital Employed,0.1603,0.2027,0.1585,0.1763,0.169,0.1287,0.12,0.1011,0.0233,0.0013,,1201.0,AMCX,-0.019290909091830323,0.7828005604627852,0.06262591795734415,-0.015100934448921416,1151.0,753.0,368.7666666666667,1130.0
95,1529,AMN,Return on Capital Employed,0.1348,0.2048,0.2101,0.2149,0.1711,0.1139,0.0773,0.221,0.3187,0.1462,,279.0,AMN,0.0029357575758942648,0.017001363686343862,0.06467036106285474,4.991188224271764e-05,593.0,771.0,175.16666666666666,364.0
96,1545,AMPH,Return on Capital Employed,-0.0537,-0.0284,0.0435,0.0063,-0.0215,0.1263,0.0097,0.1473,0.1804,0.1542,,251.0,AMPH,0.024301212122357585,0.7130309570151557,0.08266101197057776,0.017327516536232934,91.0,922.0,87.88333333333333,43.0
97,1561,AMPL,Return on Capital Employed,,,,,,-0.4339,-0.1949,-0.2387,-0.317,-0.2956,,1569.5,AMPL,,,0.08119367955697046,,,914.0,,
98,1577,AMPS,Return on Capital Employed,,,,,,-0.0151,0.0228,0.0308,0.0601,0.017,,1113.5,AMPS,,,0.024186062101962773,,,312.0,,
99,1593,AMPX,Return on Capital Employed,,,,,,,-2.7314,-0.6881,-0.2366,-0.4106,,1657.0,AMPX,,,1.0030063892493406,,,1679.0,,
100,1609,AMR,Return on Capital Employed,,-0.3608,-0.1647,0.2061,0.0722,-0.0976,-0.119,0.2318,0.8255,0.4066,,30.0,AMR,,,0.33632842010873765,,,1488.0,,
101,1625,AMRC,Return on Capital Employed,0.0252,0.0174,0.0378,0.0522,0.0596,0.0581,0.0524,0.0489,0.0643,0.045,,844.5,AMRC,0.0034006060607662736,0.46025988168972476,0.014397322667774035,0.001565162543201646,334.0,198.0,155.58333333333334,290.0
102,1641,AMRK,Return on Capital Employed,0.3527,0.2405,0.3102,0.2822,0.1362,0.124,0.277,0.4385,0.31,0.377,0.1292,38.0,AMRK,0.007993333333709959,0.05991105645055661,0.0937996913640978,0.0004788890445840132,455.0,992.0,136.8166666666667,209.0
103,1657,AMRX,Return on Capital Employed,,0.2251,0.2697,0.2303,-0.0073,-0.0167,0.0331,0.0514,-0.0295,0.0514,,781.0,AMRX,,,0.11134403918364195,,,1098.0,,
104,1673,AMSC,Return on Capital Employed,-0.5858,-0.231,-0.3912,-0.5389,0.3767,-0.1873,-0.1835,-0.1748,-0.3609,-0.0702,,1346.0,AMSC,0.03221393939545479,0.12863211749990422,0.2579859781073382,0.0041437472374509345,242.0,1421.0,250.01666666666668,741.0
105,1689,AMSF,Return on Capital Employed,0.0506,0.0673,0.0745,0.0542,0.0593,0.0795,0.0747,0.0582,0.0549,0.1129,,384.0,AMSF,0.002873333333472463,0.22195772445893913,0.017517731017457714,0.000637758528309566,422.0,232.0,127.36666666666667,180.0
106,1705,AMTB,Return on Capital Employed,,,0.0096,0.0168,0.0244,0.0281,0.0118,0.0315,0.0368,0.0464,,831.5,AMTB,,,0.011855457603989818,,,159.0,,
107,1721,AMTX,Return on Capital Employed,0.3973,-0.1904,0.0313,-0.281,-0.3005,-0.2456,-0.2889,-0.2034,-0.6346,-0.4224,,1663.0,AMTX,-0.07047878788210728,0.6085126701571986,0.2595079027698386,-0.04288723540358391,1209.0,1424.0,459.1499999999999,1210.0
108,1737,AMWD,Return on Capital Employed,0.1344,0.1741,0.2488,0.2707,0.073,0.1062,0.0875,0.0727,-0.0232,0.1034,0.1146,430.5,AMWD,-0.018527272728156605,0.4123177982444556,0.08287478748087382,-0.007639124298748079,1098.0,923.0,290.5,918.0
109,1753,ANAB,Return on Capital Employed,0.4555,-0.0983,-0.0637,-0.084,-0.1236,-0.2378,-0.0502,-0.0899,-0.1841,-0.3507,,1616.5,ANAB,-0.04848606060834775,0.485834490391281,0.19980194093151346,-0.023556200546737394,1180.0,1349.0,445.43333333333334,1198.0
110,1769,ANDE,Return on Capital Employed,0.1437,0.0046,0.0276,0.0007,0.0521,0.0369,0.0115,0.081,0.1091,0.0834,,538.0,ANDE,0.002866666666798002,0.032681433616342015,0.04554635440954633,9.368677637113934e-05,561.0,592.0,186.25,413.0
111,1785,ANF,Return on Capital Employed,0.0562,0.0368,0.0063,0.0377,0.0674,0.0236,-0.0094,0.1766,0.0495,0.2527,,104.0,ANF,0.015295757576477288,0.3215872000091249,0.07747268163681956,0.004918919851037689,221.0,884.0,95.11666666666667,71.0
112,1801,ANGO,Return on Capital Employed,0.0138,-0.0067,-0.0015,0.023,0.0162,0.0846,-0.3056,-0.0698,-0.0612,-0.1153,-0.8389,1402.0,ANGO,-0.016983636364438802,0.22526470434434087,0.10278058425597705,-0.003825813824327103,1034.0,1045.0,382.01666666666665,1147.0
113,1817,ANIK,Return on Capital Employed,0.3268,0.2203,0.2187,0.1697,0.0812,0.1149,-0.088,0.007,-0.0563,-0.3465,,1614.0,ANIK,-0.05935636363916237,0.8528469002017485,0.18461148826657564,-0.0506218907369074,1212.0,1327.0,449.95,1201.0
114,1833,ANIP,Return on Capital Employed,0.0805,0.1197,0.0688,0.0761,0.1313,0.0408,-0.0431,-0.0645,-0.0524,0.0624,,680.0,ANIP,-0.015043636364352379,0.41226240965343464,0.06729657049211349,-0.006201925777517946,1079.0,797.0,305.6666666666667,969.0
115,1849,ANNX,Return on Capital Employed,,,,-3.8139,-0.4083,-0.8268,-0.1836,-0.4912,-0.5264,-0.4799,,1694.0,ANNX,,,1.1776442063436197,,,1692.0,,
116,1865,ANRO,Return on Capital Employed,,,,,,,,-0.3405,-0.6118,-0.4312,,1671.0,ANRO,,,0.11276649423575348,,,1111.0,,
