,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
61,ABG,Free Cash Flow to Operating Cash Flow Ratio,0.3076,0.3436,0.3535,0.8194,-4.7327,0.809,0.9252,0.9295,0.845,0.5454,
62,ABG,EBT to EBIT Ratio,0.7741,0.8124,0.7801,0.7268,0.7231,0.7244,0.8196,0.8723,0.8915,0.8286,
63,ABG,EBIT to Revenue,0.0402,0.051,0.0526,0.0446,0.0452,0.0467,0.0578,0.0813,0.0959,0.0653,
64,ABM,Gross Margin,0.1032,0.0996,0.1013,0.105,0.1079,0.1125,0.1306,0.1486,0.1252,0.1213,
65,ABM,Operating Margin,0.0256,0.015,0.0106,0.0187,0.0215,0.0321,0.0465,0.0331,0.0447,0.0506,
66,ABM,Net Profit Margin,0.015,0.0156,0.0111,0.0007,0.0152,0.0196,0.0,0.0203,0.0295,0.031,
67,ABM,Interest Coverage Ratio,14.5234,9.5882,10.7885,8.9583,4.6414,6.1781,8.4013,10.3566,11.2214,6.4423,
68,ABM,Income Before Tax Profit Margin,0.0247,0.0148,0.0101,0.0159,0.0136,0.0247,0.0089,0.0289,0.0397,0.0409,
69,ABM,Effective Tax Rate,0.3923,0.2528,-0.2004,0.1013,-0.0935,0.2041,0.9962,0.2976,0.2568,0.2407,
70,ABM,Return on Assets,,0.0353,0.0259,0.0012,0.0263,0.0348,0.0001,0.0308,0.0495,0.0513,
71,ABM,Return on Equity,,0.0772,0.0577,0.0032,0.0691,0.085,0.0001,0.0812,0.1385,0.1429,
72,ABM,Return on Invested Capital,,0.0915,0.0782,0.0228,0.0581,0.0739,0.0209,0.0705,0.098,0.0971,
73,ABM,Return on Capital Employed,0.0811,0.0671,0.0341,0.0104,0.0507,0.0757,0.0351,0.0662,0.0999,0.1112,
74,ABM,Return on Tangible Assets,,0.022,0.0162,0.0007,0.0152,0.0207,0.0,0.0181,0.0286,0.03,
75,ABM,Income Quality Ratio,1.5966,2.6858,1.3403,0.0717,3.3462,2.0604,2287.5,2.4885,0.0885,0.9682,
76,ABM,Net Income per EBT,0.6077,0.8066,1.2222,0.3016,1.0915,0.7958,0.0038,0.7024,0.7432,0.7592,
77,ABM,Free Cash Flow to Operating Cash Flow Ratio,0.6901,0.8176,0.4731,-9.2143,0.8414,0.7731,0.9169,0.8909,-1.4902,0.7838,
78,ABM,EBT to EBIT Ratio,0.9208,0.9027,0.8182,0.3962,0.6235,0.758,0.5444,0.8628,0.8829,0.8009,
79,ABM,EBIT to Revenue,0.0268,0.0214,0.0111,0.0058,0.0223,0.0325,0.0164,0.0335,0.045,0.051,
80,ABOS,Gross Margin,,,,,,0.9949,0.9944,-inf,-inf,-inf,
81,ABOS,Operating Margin,,,,,,-4.5993,-5.5097,inf,-inf,-inf,
82,ABOS,Net Profit Margin,,,,,,-4.6329,-5.1003,-inf,-inf,-inf,
83,ABOS,Interest Coverage Ratio,,,,,,,,inf,18.9282,105.1239,
84,ABOS,Income Before Tax Profit Margin,,,,,,-4.6594,-5.101,-inf,-inf,-inf,
85,ABOS,Effective Tax Rate,,,,,,0.0057,0.0001,-0.8058,0.0556,-0.0,
86,ABOS,Return on Assets,,,,,,,-0.283,-1.3225,-0.1896,-0.2067,
87,ABOS,Return on Equity,,,,,,,0.4881,-1.7588,-0.1956,-0.2298,
88,ABOS,Return on Invested Capital,,,,,,,0.4881,-1.7588,-0.1955,-0.2163,
89,ABOS,Return on Capital Employed,,,,,,-1.3222,-0.1924,-0.4468,-0.2396,-0.1782,
90,ABOS,Return on Tangible Assets,,,,,,,-0.1097,-1.0596,-0.184,-0.1878,
91,ABOS,Income Quality Ratio,,,,,,0.8623,1.0171,0.1785,0.8203,0.8223,
92,ABOS,Net Income per EBT,,,,,,0.9943,0.9999,1.8058,0.9444,1.0,
93,ABOS,Free Cash Flow to Operating Cash Flow Ratio,,,,,,1.0,1.0,1.0022,1.0046,1.0005,
94,ABOS,EBT to EBIT Ratio,,,,,,1.0,1.0,1.0,0.9474,0.989,
95,ABOS,EBIT to Revenue,,,,,,-4.6594,-5.101,-inf,-inf,-inf,
96,ABR,Gross Margin,-149.2399,-458.121,-308.1676,0.6285,0.6603,0.6477,0.6674,0.7093,0.7386,0.7784,
97,ABR,Operating Margin,344.6683,288.1189,92.2978,0.0428,0.8439,0.4112,0.4868,0.6525,1.3891,0.0079,
98,ABR,Net Profit Margin,0.9825,0.5564,0.3123,0.286,0.35,0.3682,0.3938,0.5742,0.5263,0.5152,
99,ABR,Interest Coverage Ratio,681.5504,556.549,236.2228,2.7633,3.9323,2.6925,3.1904,2.7655,1.9043,0.2672,
100,ABR,Income Before Tax Profit Margin,0.9825,0.5564,0.3926,0.4321,0.4766,0.4874,0.5449,0.7177,0.5998,0.5935,
101,ABR,Effective Tax Rate,1000.0,341.7362,0.013,0.1205,0.0617,0.0883,0.1708,0.1091,0.0471,0.0639,
102,ABR,Return on Assets,,0.0288,0.021,0.0223,0.0281,0.0237,0.0246,0.0298,0.0203,0.0227,
103,ABR,Return on Equity,,0.0971,0.0767,0.0911,0.1201,0.1062,0.1204,0.1683,0.1159,0.1174,
104,ABR,Return on Invested Capital,,0.0512,0.0398,0.0401,0.0493,0.0471,0.0482,0.0517,0.0415,0.0515,
105,ABR,Return on Capital Employed,50.9667,10.3568,0.0427,0.0531,0.0652,0.0724,0.0701,0.0564,0.0683,0.0859,
106,ABR,Return on Tangible Assets,,0.0169,0.0118,0.0122,0.0154,0.013,0.0133,0.0161,0.011,0.0124,
107,ABR,Income Quality Ratio,0.331,0.6803,-3.1628,4.7261,-0.2549,-1.4593,0.2812,0.574,3.1079,0.5888,
108,ABR,Net Income per EBT,0.001,0.0029,0.9839,0.846,0.9225,0.8953,0.8089,0.88,0.9491,0.9314,
109,ABR,Free Cash Flow to Operating Cash Flow Ratio,1.5585,2.0414,0.7549,0.9974,1.0097,1.0,1.0,1.0,1.0,1.0,
110,ABR,EBT to EBIT Ratio,0.9995,0.9973,0.4458,0.4906,0.4495,0.4353,0.5553,0.6452,0.381,0.3063,
111,ABR,EBIT to Revenue,984.0141,191.2205,0.712,0.6891,0.8439,0.9447,0.8766,1.0113,1.4552,1.8058,
112,ABSI,Gross Margin,,,,,,-1.0927,-1.395,-0.3915,-1.2685,-1.4482,
113,ABSI,Operating Margin,,,,,,-3.0413,-2.7826,-15.7336,-18.5749,-16.3834,
114,ABSI,Net Profit Margin,,,,,,-3.3015,-3.0479,-21.1125,-18.2537,-19.3365,
115,ABSI,Interest Coverage Ratio,,,,,,-21.5448,-19.1956,-19.9837,-96.4126,-78.8921,
116,ABSI,Income Before Tax Profit Margin,,,,,,-3.1961,-3.0027,-22.9734,-18.3339,-19.319,
117,ABSI,Effective Tax Rate,,,,,,-0.033,-0.015,0.081,0.0044,-0.0009,
118,ABSI,Return on Assets,,,,,,,-0.2697,-0.3923,-0.2808,-0.3981,
119,ABSI,Return on Equity,,,,,,,0.2231,-0.7298,-0.3276,-0.4908,
120,ABSI,Return on Invested Capital,,,,,,,0.2647,-0.6489,-0.307,-0.4517,
121,ABSI,Return on Capital Employed,,,,,,-0.3946,-0.1748,-0.2713,-0.3591,-0.5341,
122,ABSI,Return on Tangible Assets,,,,,,,-0.0839,-0.2499,-0.2184,-0.2909,
123,ABSI,Income Quality Ratio,,,,,,0.9162,0.7643,0.6002,0.7754,0.5846,
124,ABSI,Net Income per EBT,,,,,,1.033,1.015,0.919,0.9956,1.0009,
125,ABSI,Free Cash Flow to Operating Cash Flow Ratio,,,,,,1.182,1.1988,1.6279,1.1989,1.0133,
126,ABSI,EBT to EBIT Ratio,,,,,,1.0424,1.0462,1.0322,1.0093,1.0092,
127,ABSI,EBIT to Revenue,,,,,,-3.066,-2.8701,-22.2558,-18.1648,-19.1424,
128,ABUS,Gross Margin,-1.58,-1.0707,-39.8667,-4.8598,-8.8136,-8.5826,-5.8674,0.8405,0.9634,0.9226,
129,ABUS,Operating Margin,-2.2,-4.1138,-327.7333,-10.3645,-15.2203,-23.9684,-8.3607,-6.6911,-1.6775,-4.3015,
130,ABUS,Net Profit Margin,-2.5867,-2.4573,-256.0667,-7.8879,-9.678,-25.5736,-9.4317,-7.0396,-1.7801,-4.0157,
131,ABUS,Interest Coverage Ratio,-inf,-inf,-inf,-417.1379,-438.095,-67.3843,-13.9187,-25.1204,-37.0968,-166.9499,
132,ABUS,Income Before Tax Profit Margin,-2.58,-3.108,-326.0667,-10.1589,-10.4068,-27.6791,-9.2197,-6.9391,-1.6662,-4.0157,
133,ABUS,Effective Tax Rate,-0.0026,0.2094,0.2147,0.2236,0.07,0.0761,-0.023,-0.0145,-0.0684,0.0,
134,ABUS,Return on Assets,,-0.1472,-0.7774,-0.329,-0.2455,-0.9221,-0.5376,-0.4529,-0.3474,-0.4288,
135,ABUS,Return on Equity,,-0.1923,-1.0233,-0.4379,-0.2984,-1.1264,-0.7465,-0.57,-0.4535,-0.5999,
136,ABUS,Return on Invested Capital,,-0.1923,-1.0072,-0.4122,-0.2382,-1.032,-0.5864,-0.4708,-0.4465,-0.5741,
137,ABUS,Return on Capital Employed,-0.3728,-0.1102,-1.8436,-0.4813,-0.2809,-1.6813,-0.4684,-0.3797,-0.3893,-0.5938,
138,ABUS,Return on Tangible Assets,,-0.0887,-0.4579,-0.2113,-0.1757,-0.7024,-0.42,-0.3757,-0.2815,-0.3336,
139,ABUS,Income Quality Ratio,0.3198,0.8963,0.1507,0.5758,1.1891,0.4619,0.807,0.8857,0.509,1.1796,
140,ABUS,Net Income per EBT,1.0026,0.7906,0.7853,0.7764,0.93,0.9239,1.023,1.0145,1.0684,1.0,
141,ABUS,Free Cash Flow to Operating Cash Flow Ratio,1.085,1.0417,1.069,1.1495,1.0168,1.0083,1.0045,1.012,1.0145,1.0117,
142,ABUS,EBT to EBIT Ratio,1.0,1.0,1.0,1.0024,1.0033,1.0128,1.0671,1.0389,1.0273,1.0063,
143,ABUS,EBIT to Revenue,-2.58,-3.108,-326.0667,-10.1345,-10.3729,-27.3284,-8.6396,-6.6791,-1.6219,-3.9904,
144,ACA,Gross Margin,,0.2246,0.2043,0.2015,0.1863,0.1914,0.1974,0.1798,0.1885,0.1923,
145,ACA,Operating Margin,,0.1018,0.1178,0.0901,0.065,0.088,0.0784,0.0527,0.0705,0.0792,
146,ACA,Net Profit Margin,,0.0631,0.0722,0.0613,0.0518,0.0652,0.0551,0.0342,0.1096,0.069,
147,ACA,Interest Coverage Ratio,,714.0,inf,inf,180.5556,35.1029,25.1226,10.7521,10.0742,12.1779,
148,ACA,Income Before Tax Profit Margin,,0.1024,0.1157,0.089,0.0651,0.0845,0.0714,0.0411,0.141,0.0849,
149,ACA,Effective Tax Rate,,0.3841,0.3763,0.3105,0.2032,0.2282,0.2287,0.1675,0.2226,0.1873,
150,ACA,Return on Assets,,,,0.0573,0.0401,0.0506,0.0431,0.0239,0.0753,0.046,
151,ACA,Return on Equity,,,,0.0652,0.049,0.0652,0.0579,0.0362,0.1188,0.0705,
152,ACA,Return on Invested Capital,,,,0.0652,0.0462,0.0654,0.0576,0.0332,0.0952,0.0596,
153,ACA,Return on Capital Employed,,,0.1452,0.0911,0.0495,0.0761,0.0637,0.0379,0.1168,0.0712,
154,ACA,Return on Tangible Assets,,,,0.0511,0.034,0.041,0.0329,0.0169,0.0523,0.0323,
155,ACA,Income Quality Ratio,,2.1719,1.852,1.806,1.5654,3.1668,2.4381,2.3922,0.7091,1.6456,
156,ACA,Net Income per EBT,,0.6159,0.6237,0.6895,0.7968,0.7718,0.7713,0.8325,0.7774,0.8127,
157,ACA,Free Cash Flow to Operating Cash Flow Ratio,,0.6971,0.6277,0.4914,0.6219,0.762,0.6841,0.4889,0.2083,0.2203,
158,ACA,EBT to EBIT Ratio,,0.9982,1.0,1.0,0.9906,0.9557,0.9288,0.7813,0.9107,0.8746,
159,ACA,EBIT to Revenue,,0.1026,0.1157,0.089,0.0657,0.0884,0.0769,0.0525,0.1548,0.0971,
160,ACAD,Gross Margin,-504.0167,-1250.9508,0.7458,0.8954,0.9181,0.9422,0.9535,0.9605,0.9803,0.937,
161,ACAD,Operating Margin,-776.9167,-2698.5574,-15.7414,-2.3411,-1.1056,-0.7271,-0.6487,-0.352,-0.4323,-0.101,
162,ACAD,Net Profit Margin,-770.625,-2695.7869,-15.6594,-2.3171,-1.0956,-0.6938,-0.6374,-0.3467,-0.4176,-0.0844,
163,ACAD,Interest Coverage Ratio,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-33.5204,-inf,
164,ACAD,Income Before Tax Profit Margin,-770.625,-2690.377,-15.582,-2.3081,-1.0899,-0.6912,-0.636,-0.346,-0.4127,-0.0703,
165,ACAD,Effective Tax Rate,0.0022,-0.002,-0.005,-0.0039,-0.0051,-0.0037,-0.0022,-0.0021,-0.0119,-0.2008,
166,ACAD,Return on Assets,,-0.6009,-0.6932,-0.6121,-0.5303,-0.3555,-0.3597,-0.2264,-0.3354,-0.0917,
167,ACAD,Return on Equity,,-0.6458,-0.7558,-0.678,-0.6022,-0.3993,-0.4247,-0.2875,-0.4589,-0.1473,
168,ACAD,Return on Invested Capital,,-0.6458,-0.7558,-0.678,-0.6022,-0.3972,-0.409,-0.2647,-0.4077,-0.1288,
169,ACAD,Return on Capital Employed,-0.2993,-0.8206,-0.5208,-0.8593,-0.5075,-0.3309,-0.4152,-0.2773,-0.4475,-0.1032,
170,ACAD,Return on Tangible Assets,,-0.5618,-0.6349,-0.5512,-0.4694,-0.319,-0.3113,-0.1867,-0.2643,-0.0643,
171,ACAD,Income Quality Ratio,0.7184,0.7407,0.7753,0.7528,0.683,0.6424,0.4836,0.7486,0.528,-0.2725,
172,ACAD,Net Income per EBT,0.9978,1.002,1.005,1.0039,1.0051,1.0037,1.0022,1.0021,1.0119,1.2008,
173,ACAD,Free Cash Flow to Operating Cash Flow Ratio,1.0027,1.0176,1.0452,1.0037,1.0128,1.0075,1.0557,1.0089,1.0,-1.3979,
174,ACAD,EBT to EBIT Ratio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.032,1.0,
175,ACAD,EBIT to Revenue,-772.3417,-2690.377,-15.582,-2.3081,-1.0899,-0.6912,-0.636,-0.346,-0.3999,-0.0703,
176,ACCD,Gross Margin,,,,,0.3045,0.3612,0.4439,0.4501,0.4548,0.4523,0.3467
177,ACCD,Operating Margin,,,,,-0.7739,-0.5693,-0.3638,-0.2746,-0.552,0.3742,-0.2742
178,ACCD,Net Profit Margin,,,,,-0.7977,-0.5959,-0.3876,-0.2973,-0.3971,-1.2658,-0.2409
179,ACCD,Interest Coverage Ratio,,,,,-28.6153,-18.781,-13.5685,-10.3558,-44.2454,718.7255,-10.5828
180,ACCD,Income Before Tax Profit Margin,,,,,-0.7977,-0.5953,-0.3867,-0.2973,-0.4153,-1.2757,-0.2379
181,ACCD,Effective Tax Rate,,,,,-0.0289,-0.001,-0.0025,-0.0001,0.0438,0.0078,-0.0125
182,ACCD,Return on Assets,,,,,,-1.0013,-0.5402,-0.1689,-0.1398,-0.42,-0.118
183,ACCD,Return on Equity,,,,,,0.2727,0.4038,-0.276,-0.1975,-0.6914,-0.2171
184,ACCD,Return on Invested Capital,,,,,,0.3019,0.6307,-0.2306,-0.1572,-0.4676,-0.1351
185,ACCD,Return on Capital Employed,,,,,-10.3338,-5.9434,-0.8872,-0.1184,-0.1072,-0.5908,-0.1361
186,ACCD,Return on Tangible Assets,,,,,,-0.1765,-0.1613,-0.1213,-0.0977,-0.263,-0.0705
187,ACCD,Income Quality Ratio,,,,,0.6247,0.2929,0.6667,0.4981,0.5064,0.0886,0.162
188,ACCD,Net Income per EBT,,,,,1.0298,1.001,1.0025,1.0001,0.9562,0.9922,1.0125
189,ACCD,Free Cash Flow to Operating Cash Flow Ratio,,,,,1.1868,1.1884,1.0968,1.0937,1.058,1.1776,1.772
190,ACCD,EBT to EBIT Ratio,,,,,1.0312,1.0439,1.0605,1.0794,1.0231,1.0006,1.0643
191,ACCD,EBIT to Revenue,,,,,-0.7512,-0.5703,-0.3646,-0.2754,-0.406,-1.275,-0.2236
192,ACCO,Gross Margin,0.3137,0.3167,0.3308,0.3368,0.3234,0.3239,0.2975,0.3036,0.2836,0.3264,
193,ACCO,Operating Margin,0.1028,0.1082,0.1074,0.099,0.0963,0.1003,0.0679,0.0746,0.082,0.0244,
194,ACCO,Net Profit Margin,0.0542,0.0569,0.0613,0.0676,0.055,0.0546,0.0375,0.0503,-0.0068,-0.0119,
195,ACCO,Interest Coverage Ratio,4.6687,4.8427,4.4483,6.4282,6.2549,6.169,4.7191,5.1123,5.2456,2.0614,
196,ACCO,Income Before Tax Profit Margin,0.0811,0.087,0.0803,0.0811,0.0813,0.0836,0.0475,0.055,0.0077,-0.0071,
197,ACCO,Effective Tax Rate,0.3314,0.3463,0.2366,0.167,0.3243,0.3468,0.2112,0.0853,1.8859,-0.6641,
198,ACCO,Return on Assets,,0.0411,0.0475,0.0542,0.0382,0.0383,0.0212,0.0332,-0.0045,-0.008,
199,ACCO,Return on Equity,,0.1361,0.1481,0.1776,0.1365,0.1366,0.0818,0.1268,-0.0158,-0.0273,
200,ACCO,Return on Invested Capital,,0.0617,0.0706,0.0847,0.078,0.0779,0.0472,0.0647,0.0079,0.0036,
201,ACCO,Return on Capital Employed,0.1019,0.1101,0.1052,0.0881,0.091,0.094,0.0471,0.0662,0.0274,0.0216,
202,ACCO,Return on Tangible Assets,,0.021,0.0244,0.0273,0.019,0.0192,0.0104,0.0162,-0.0022,-0.004,
203,ACCO,Income Quality Ratio,1.8745,1.993,1.7372,1.5558,1.8257,1.9092,1.9226,1.5662,-5.8788,-5.9037,
204,ACCO,Net Income per EBT,0.6686,0.6537,0.7634,0.833,0.6757,0.6532,0.7888,0.9147,-0.8859,1.6641,
205,ACCO,Free Cash Flow to Operating Cash Flow Ratio,0.8276,0.8388,0.8885,0.8487,0.8249,0.8391,0.8716,0.8672,0.7874,0.8928,
206,ACCO,EBT to EBIT Ratio,0.7346,0.747,0.7173,0.7937,0.7931,0.791,0.6695,0.7064,0.2463,-0.2879,
207,ACCO,EBIT to Revenue,0.1104,0.1165,0.112,0.1022,0.1026,0.1057,0.0709,0.0779,0.0311,0.0248,
208,ACDC,Gross Margin,,,,,,0.2054,-0.0548,0.0749,0.2967,0.1849,
209,ACDC,Operating Margin,,,,,,0.003,-0.1729,-0.0106,0.17,0.0828,
210,ACDC,Net Profit Margin,,,,,,-0.0455,-0.2164,-0.0567,0.1413,-0.0371,
211,ACDC,Interest Coverage Ratio,,,,,,inf,2.4018,8.3395,11.4235,4.2363,
212,ACDC,Income Before Tax Profit Margin,,,,,,-0.0448,-0.2154,-0.0569,0.145,-0.0221,
213,ACDC,Effective Tax Rate,,,,,,-0.0155,-0.0042,0.0043,0.0259,-0.0207,
214,ACDC,Return on Assets,,,,,,,-0.1815,-0.0701,0.1905,-0.0317,
215,ACDC,Return on Equity,,,,,,,-0.5134,-0.268,0.4573,-0.0729,
216,ACDC,Return on Invested Capital,,,,,,,-0.2287,-0.0965,0.2411,-0.04,
217,ACDC,Return on Capital Employed,,,,,,-0.0672,-0.2167,-0.0429,0.1815,0.0226,
218,ACDC,Return on Tangible Assets,,,,,,,-0.1102,-0.0398,0.1156,-0.0195,
219,ACDC,Income Quality Ratio,,,,,,-3.7727,-0.3806,-1.0093,1.2116,-5.6653,
220,ACDC,Net Income per EBT,,,,,,1.0155,1.0042,0.9957,0.9741,1.0124,
